cpu_percent,memory_percent,disk_io_read_mb,disk_io_write_mb,active_processes,hour_of_day,target
5.9,68.5,89712.7578125,140367.22265625,740,3,medium
7.4,69.0,95002.32421875,142851.83203125,744,3,medium
4.5,70.2,95650.61328125,144306.4765625,737,3,medium
13.5,72.2,96593.41796875,145448.54296875,743,3,medium
11.2,70.3,100418.4140625,145999.06640625,748,3,medium
8.6,69.2,101143.640625,146126.984375,742,4,medium
10.8,70.2,103383.7734375,146205.22265625,742,4,medium
12.7,69.9,104524.9375,146391.53515625,750,4,medium
20.6,69.7,104862.078125,146643.7109375,742,4,medium
19.0,70.1,105280.859375,146876.96875,741,4,medium
17.7,70.0,105381.05078125,147060.1484375,744,4,medium
18.0,70.1,105479.38671875,147224.609375,741,4,medium
15.5,70.0,105586.40234375,147384.82421875,737,4,medium
17.6,70.1,105706.59765625,147577.62890625,742,4,medium
16.6,70.1,105766.73828125,147716.15234375,751,4,medium
18.7,70.3,106036.97265625,147962.578125,758,4,medium
18.1,70.2,106117.37109375,148154.18359375,753,4,medium
16.7,70.2,106219.10546875,148334.63671875,752,5,medium
16.6,70.2,106316.02734375,148526.93359375,743,5,medium
19.9,71.1,106616.36328125,148794.734375,738,5,medium
15.4,71.2,106664.32421875,148950.2734375,739,5,medium
18.5,71.0,106735.0078125,149082.62890625,738,5,medium
16.3,71.5,106813.21484375,149236.8828125,741,5,medium
18.3,71.4,106860.625,149363.4296875,741,5,medium
16.1,71.4,106905.32421875,149506.74609375,742,5,medium
18.0,71.7,107011.96875,149660.14453125,743,5,medium
17.9,71.3,107266.59375,149782.0625,742,5,medium
1.8,71.2,107343.2421875,150386.3828125,742,5,medium
20.1,71.2,107795.7734375,150506.87890625,742,5,medium
17.3,72.6,109371.29296875,150700.55078125,739,6,medium
20.1,73.0,109786.40234375,150892.72265625,741,6,medium
20.2,74.1,110021.68359375,151182.01171875,755,6,medium
17.0,73.6,110247.09765625,151356.5859375,757,6,medium
16.2,73.5,110298.0859375,151499.87890625,751,6,medium
16.5,74.0,110356.8046875,151655.5859375,741,6,medium
17.3,73.9,110424.64453125,151783.83203125,741,6,medium
21.8,74.3,110468.5625,151934.89453125,742,6,medium
17.2,73.9,110600.56640625,152109.984375,740,6,medium
15.5,73.9,110696.25390625,152224.05078125,740,6,medium
17.2,73.7,110778.19921875,152851.23046875,741,6,medium
18.0,73.9,110831.72265625,153031.0703125,741,6,medium
19.1,74.0,110874.69140625,153199.55078125,741,7,medium
17.4,73.7,111020.78515625,153364.92578125,742,7,medium
16.4,74.5,111537.5859375,153608.515625,741,7,medium
17.6,74.3,111619.96484375,153772.3984375,741,7,medium
16.3,74.3,111692.2734375,153914.02734375,741,7,medium
17.6,74.2,111908.56640625,154072.6875,748,7,medium
19.7,74.5,112004.21484375,154203.35546875,757,7,medium
18.8,74.3,112229.390625,154352.92578125,750,7,medium
18.3,74.4,112437.640625,154513.29296875,742,7,medium
18.0,74.4,112513.33203125,154638.90234375,742,7,medium
1.2,73.5,112914.84375,155289.3125,742,7,medium
